State,Year,Projected Populations
South Dakota,2027,801255
South Dakota,2028,800961
South Dakota,2029,800710
South Dakota,2030,800462
Tennessee,2004,5912726
Tennessee,2005,5965317
Tennessee,2006,6018238
Tennessee,2007,6071222
Tennessee,2008,6124341
Tennessee,2009,6177567
Tennessee,2010,6230852
Tennessee,2011,6284421
Tennessee,2012,6338392
Tennessee,2013,6392658
Tennessee,2014,6447163
Tennessee,2015,6502017
Tennessee,2016,6557090
Tennessee,2017,6612472
Tennessee,2018,6668132
Tennessee,2019,6724207
Tennessee,2020,6780670
Tennessee,2021,6837661
Tennessee,2022,6895329
Tennessee,2023,6953783
Tennessee,2024,7013071
Tennessee,2025,7073125
Tennessee,2026,7133706
Tennessee,2027,7194743
Tennessee,2028,7256206
Tennessee,2029,7318154
Tennessee,2030,7380634
Texas,2004,22402761
Texas,2005,22775044
Texas,2006,23149195
Texas,2007,23523782
Texas,2008,23898665
Texas,2009,24273816
Texas,2010,24648888
Texas,2011,25026846
Texas,2012,25409783
Texas,2013,25797428
Texas,2014,26189495
Texas,2015,26585801
Texas,2016,26986249
Texas,2017,27391070
Texas,2018,27800543
Texas,2019,28215015
Texas,2020,28634896
Texas,2021,29062018
Texas,2022,29498159
Texas,2023,29943764
Texas,2024,30399250
Texas,2025,30865134
Texas,2026,31338972
Texas,2027,31820681
Texas,2028,32310736
Texas,2029,32809827
Texas,2030,33317744
Utah,2004,2383663
Utah,2005,2417998
Utah,2006,2452863
Utah,2007,2488014
Utah,2008,2523394
Utah,2009,2559059
Utah,2010,2595013
Utah,2011,2631383
Utah,2012,2668319
Utah,2013,2705888
Utah,2014,2744104
Utah,2015,2783040
Utah,2016,2822718
Utah,2017,2863188
Utah,2018,2904529
Utah,2019,2946841
Utah,2020,2990094
Utah,2021,3034569
Utah,2022,3080326
Utah,2023,3127347
Utah,2024,3175809
Utah,2025,3225680
Utah,2026,3276328
Utah,2027,3327623
Utah,2028,3379629
Utah,2029,3432237
Utah,2030,3485367
Vermont,2004,626673
Vermont,2005,630979
Vermont,2006,635289
Vermont,2007,639584
Vermont,2008,643905
Vermont,2009,648221
Vermont,2010,652512
Vermont,2011,656767
Vermont,2012,660969
Vermont,2013,665113
Vermont,2014,669205
Vermont,2015,673169
Vermont,2016,677025
Vermont,2017,680729
Vermont,2018,684222
Vermont,2019,687552
Vermont,2020,690686
Vermont,2021,693589
Vermont,2022,696319
Vermont,2023,698858
Vermont,2024,701169
Vermont,2025,703288
Vermont,2026,705256
Vermont,2027,707042
Vermont,2028,708746
Vermont,2029,710327
Vermont,2030,711867
Virginia,2004,7460774
Virginia,2005,7552581
Virginia,2006,7644514
Virginia,2007,7736166
Virginia,2008,7827657
Virginia,2009,7919021
Virginia,2010,8010245
Virginia,2011,8101489
Virginia,2012,8192854
Virginia,2013,8284309
Virginia,2014,8375648
Virginia,2015,8466864
Virginia,2016,8557758
Virginia,2017,8648333
Virginia,2018,8738451
Virginia,2019,8828145
Virginia,2020,8917395
Virginia,2021,9006566
Virginia,2022,9095887
Virginia,2023,9185284
Virginia,2024,9274781
Virginia,2025,9364304
Virginia,2026,9454654
Virginia,2027,9545778
Virginia,2028,9637792
Virginia,2029,9730835
Virginia,2030,9825019
Washington,2004,6144988
Washington,2005,6204632
Washington,2006,6266940
Washington,2007,6331696
Washington,2008,6399035
Washington,2009,6469126
Washington,2010,6541963
Washington,2011,6617654
Washington,2012,6696375
Washington,2013,6778126
Washington,2014,6862870
Washington,2015,6950610
Washington,2016,7041246
Washington,2017,7134776
Washington,2018,7231073
Washington,2019,7330188
Washington,2020,7432136
Washington,2021,7537377
Washington,2022,7646286
Washington,2023,7758905
Washington,2024,7875563
Washington,2025,7996400
Washington,2026,8118782
Washington,2027,8242723
Washington,2028,8368351
Washington,2029,8495694
Washington,2030,8624801
West Virginia,2004,1814736
West Virginia,2005,1818887
West Virginia,2006,1822416
West Virginia,2007,1825209
West Virginia,2008,1827226
West Virginia,2009,1828538
West Virginia,2010,1829141
West Virginia,2011,1829099
West Virginia,2012,1828425
West Virginia,2013,1827150
West Virginia,2014,1825259
West Virginia,2015,1822758
West Virginia,2016,1819567
West Virginia,2017,1815822
West Virginia,2018,1811457
West Virginia,2019,1806545
West Virginia,2020,1801112
West Virginia,2021,1795057
West Virginia,2022,1788563
West Virginia,2023,1781639
West Virginia,2024,1774295
West Virginia,2025,1766435
West Virginia,2026,1758135
West Virginia,2027,1749264
West Virginia,2028,1739954
West Virginia,2029,1730161
West Virginia,2030,1719959
Wisconsin,2004,5518758
Wisconsin,2005,5554343
Wisconsin,2006,5589876
Wisconsin,2007,5624971
Wisconsin,2008,5659640
Wisconsin,2009,5693830
Wisconsin,2010,5727426
Wisconsin,2011,5760303
Wisconsin,2012,5792502
Wisconsin,2013,5823732
Wisconsin,2014,5853861
Wisconsin,2015,5882760
Wisconsin,2016,5910327
Wisconsin,2017,5936429
Wisconsin,2018,5960925
Wisconsin,2019,5983775
Wisconsin,2020,6004954
Wisconsin,2021,6024516
Wisconsin,2022,6042617
Wisconsin,2023,6059281
Wisconsin,2024,6074537
Wisconsin,2025,6088374
Wisconsin,2026,6101787
Wisconsin,2027,6114630
Wisconsin,2028,6127024
Wisconsin,2029,6139027
Wisconsin,2030,6150764
Wyoming,2004,504251
Wyoming,2005,507268
Wyoming,2006,510136
Wyoming,2007,512847
Wyoming,2008,515408
Wyoming,2009,517767
Wyoming,2010,519886
Wyoming,2011,521831
Wyoming,2012,523655
Wyoming,2013,525296
Wyoming,2014,526758
Wyoming,2015,528005
Wyoming,2016,529053
Wyoming,2017,529846
Wyoming,2018,530409
Wyoming,2019,530784
Wyoming,2020,530948
Wyoming,2021,530925
Wyoming,2022,530704
Wyoming,2023,530314
Wyoming,2024,529754
Wyoming,2025,529031
Wyoming,2026,528134
Wyoming,2027,527080
Wyoming,2028,525867
Wyoming,2029,524512
Wyoming,2030,522979
